Translated_Comment,Cleaned_Translated_Comment,Sentiment_Scores,Sentiment_Compound,Sentiment_Label,lstm_sentiment_labeling,lstm_sentiment_score,lstm_matches_vader,roberta_sentiment_labeling,roberta_sentiment_score,distilbert_sentiment_labeling,distilbert_sentiment_score
Give me a break,give me a break,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.9597344,1,Neutral,0.46952033,Positive,0.76894331
"Its normal to have a flue and cold, take naturalremedies. . They've been injecting people with  viruses to become sick.",its normal to have a flue and cold take naturalremedies theyve been injecting people with viruses to become sick,"{'neg': 0.155, 'neu': 0.845, 'pos': 0.0, 'compound': -0.5106}",-0.5106,Negative,Negative,0.8219338,1,Negative,0.801839232,Negative,0.934973121
Is this from Ukrainian bio lab?,is this from ukrainian bio lab,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.7529361,1,Neutral,0.915867567,Positive,0.727153063
"Im in Australia... I may have had this in November 2024... it just hit me overnight. When I went to bed I was feeling fine. When I woke up my throat was on fire, and progressively my symptoms got worse over the day.  I knew something was wrong, I felt very sick all over. After waiting in the hospital for hours to be seen (yep, and spreading it to everyone there), and me insisting that it was not just the ""flue that was going round"" they Xrayed me and waddaya know.... pneumonia!!! I was on two lots of antibiotics. They sent me home where I was so sick I couldnt move. Lucky I didnt flaming die at home. Im still weak from it. They told me it was some respiratory illness.",im in australia i may have had this in november 2024 it just hit me overnight when i went to bed i was feeling fine when i woke up my throat was on fire and progressively my symptoms got worse over the day i knew something was wrong i felt very sick all over after waiting in the hospital for hours to be seen yep and spreading it to everyone there and me insisting that it was not just the flue that was going round they xrayed me and waddaya know pneumonia i was on two lots of antibiotics they sent me home where i was so sick i couldnt move lucky i didnt flaming die at home im still weak from it they told me it was some respiratory illness,"{'neg': 0.16, 'neu': 0.783, 'pos': 0.057, 'compound': -0.9495}",-0.9495,Negative,Negative,0.69866085,1,Negative,0.803474545,Negative,0.97196734
My parents are non believers when it comes with viruses so i dont know how i think of this,my parents are non believers when it comes with viruses so i dont know how i think of this,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.7471486,1,Negative,0.746998429,Negative,0.97000587
"try harder globalists, no one's falling for this again. However I wonder, they can't be this dumb, maybe they have something else up their sleeve that they didn't pull out last time",try harder globalists no ones falling for this again however i wonder they cant be this dumb maybe they have something else up their sleeve that they didnt pull out last time,"{'neg': 0.166, 'neu': 0.794, 'pos': 0.04, 'compound': -0.6839}",-0.6839,Negative,Negative,0.8949007,1,Negative,0.82433635,Negative,0.792108476
"Done on purpose, no oneâ€:trade_mark:s going to get locked, up again there would be riots in the streets.",done on purpose no oneâtrade_marks going to get locked up again there would be riots in the streets,"{'neg': 0.256, 'neu': 0.744, 'pos': 0.0, 'compound': -0.6705}",-0.6705,Negative,Negative,0.7848981,1,Negative,0.90091306,Negative,0.672113538
Bullshitting for $Billions...again?,bullshitting for billionsagain,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.9871185,1,Negative,0.796916127,Negative,0.964162171
"Depending on your religion, and maybe even your intellect, metaphysically speaking, this might be one of those new viral pandemics being spread by Uranus, or by Jupiter or perhaps even Mars, or, god help us, Saturn ~ The god's must be going mad again...  (Nevermind, Trump will save America, and then America will save the rest of us)...",depending on your religion and maybe even your intellect metaphysically speaking this might be one of those new viral pandemics being spread by uranus or by jupiter or perhaps even mars or god help us saturn the gods must be going mad again nevermind trump will save america and then america will save the rest of us,"{'neg': 0.047, 'neu': 0.746, 'pos': 0.208, 'compound': 0.875}",0.875,Positive,Positive,0.9927184,1,Negative,0.624125421,Negative,0.712527335
"Who cares? I mean, WHO cares!",who cares i mean who cares,"{'neg': 0.0, 'neu': 0.4, 'pos': 0.6, 'compound': 0.7184}",0.7184,Positive,Positive,0.95366025,1,Negative,0.51204443,Positive,0.629742444
"Yes here we go again, more fear porn   Do you remember in the last five years apart from continuing mutations from cvd virus ðŸ¦  we had the cow ðŸ„ poo, then the chook flu, then the bees ðŸ disease, monkey  ðŸ’ pox etc etc",yes here we go again more fear porn do you remember in the last five years apart from continuing mutations from cvd virus ðÿ we had the cow ðÿ poo then the chook flu then the bees ðÿ disease monkey ðÿ pox etc etc,"{'neg': 0.122, 'neu': 0.823, 'pos': 0.054, 'compound': -0.5256}",-0.5256,Negative,Negative,0.7457182,1,Negative,0.806193769,Negative,0.515110791
Just in time for the US inauguration. Surely we don't believe this bullshit again?,just in time for the us inauguration surely we dont believe this bullshit again,"{'neg': 0.232, 'neu': 0.619, 'pos': 0.149, 'compound': -0.3818}",-0.3818,Negative,Negative,0.69943917,1,Negative,0.653716743,Negative,0.91196698
2020 repeating itself,2020 repeating itself,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.98605865,1,Negative,0.752098739,Negative,0.800103784
"In 2020 it was Clark Kent/Superman, this time the flu will become Shazam!",in 2020 it was clark kentsuperman this time the flu will become shazam,"{'neg': 0.178, 'neu': 0.822, 'pos': 0.0, 'compound': -0.3818}",-0.3818,Negative,Negative,0.77606475,1,Neutral,0.730972052,Positive,0.550494969
Total bullshit is quite common in Australia usually coming out of the mouths of politicians and pharmaceutical industry compromised medical staff.,total bullshit is quite common in australia usually coming out of the mouths of politicians and pharmaceutical industry compromised medical staff,"{'neg': 0.17, 'neu': 0.83, 'pos': 0.0, 'compound': -0.624}",-0.624,Negative,Negative,0.93470156,1,Negative,0.88554579,Negative,0.954414308
"More bs again , planned release of new  experimental germ warfare again !!!",more bs again planned release of new experimental germ warfare again,"{'neg': 0.18, 'neu': 0.82, 'pos': 0.0, 'compound': -0.296}",-0.296,Negative,Neutral,0.8837833,0,Negative,0.922819674,Negative,0.573748887
like covid did Dr fauci make this too in his lab in wyhan!,like covid did dr fauci make this too in his lab in wyhan,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.3612}",0.3612,Positive,Positive,0.9154079,1,Neutral,0.766023278,Positive,0.694800198
HMPV = Human Misinformation Pushed Vindictively .,hmpv human misinformation pushed vindictively,"{'neg': 0.365, 'neu': 0.635, 'pos': 0.0, 'compound': -0.3182}",-0.3182,Negative,Negative,0.84453034,1,Negative,0.765443444,Negative,0.951012552
Total BS!  Donâ€:trade_mark:t get fooled again.,total bs donâtrade_markt get fooled again,"{'neg': 0.342, 'neu': 0.658, 'pos': 0.0, 'compound': -0.3818}",-0.3818,Negative,Negative,0.82934916,1,Negative,0.895948291,Negative,0.719241798
Fake news! Media bs as usual!,fake news media bs as usual,"{'neg': 0.383, 'neu': 0.617, 'pos': 0.0, 'compound': -0.4767}",-0.4767,Negative,Negative,0.9874326,1,Negative,0.801872611,Negative,0.930748284
Sounds like a loada ðŸ’:copyright:ðŸ’:copyright:ðŸ’:copyright: to me!! ðŸ:trade_mark:„,sounds like a loada ðÿcopyrightðÿcopyrightðÿcopyright to me ðÿtrade_mark,"{'neg': 0.0, 'neu': 0.737, 'pos': 0.263, 'compound': 0.3612}",0.3612,Positive,Positive,0.943355,1,Neutral,0.586612642,Positive,0.646294355
This sounds like a common cold or flu and nothing more!!,this sounds like a common cold or flu and nothing more,"{'neg': 0.184, 'neu': 0.638, 'pos': 0.177, 'compound': -0.0258}",-0.0258,Neutral,Negative,0.5870658,0,Negative,0.758938789,Negative,0.928749859
Another Engineered virus....ðŸ‘ðŸ‘ðŸ‘,another engineered virusðÿðÿðÿ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.9913125,1,Negative,0.586134434,Negative,0.865401089
Whatever!!!!,whatever,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.9815856,1,Neutral,0.579813957,Positive,0.795419157
Nobody is falling for it again. Believe it or not many of us never fell for the first one. Keep your blood pure and Resist!,nobody is falling for it again believe it or not many of us never fell for the first one keep your blood pure and resist,"{'neg': 0.062, 'neu': 0.938, 'pos': 0.0, 'compound': -0.1531}",-0.1531,Negative,Positive,0.6567918,0,Negative,0.533443749,Positive,0.880112171
They are using AI to create viruses to attack certain demographics. Biological weapons are getting more and more advanced.,they are using ai to create viruses to attack certain demographics biological weapons are getting more and more advanced,"{'neg': 0.224, 'neu': 0.523, 'pos': 0.253, 'compound': -0.0627}",-0.0627,Negative,Negative,0.9064034,1,Negative,0.789916217,Positive,0.709115446
"All this is, is another way for them to make out that they don't overreact each time a cold/flu presnts itself. That last plandemic opened too many eyes for them to simply play that card again but 100% it's coming and It'll make the last one look like a walk in the park. You better believe they've  learnt their missteps..",all this is is another way for them to make out that they dont overreact each time a coldflu presnts itself that last plandemic opened too many eyes for them to simply play that card again but 100 its coming and itll make the last one look like a walk in the park you better believe theyve learnt their missteps,"{'neg': 0.0, 'neu': 0.846, 'pos': 0.154, 'compound': 0.847}",0.847,Positive,Positive,0.97547,1,Negative,0.596613884,Positive,0.528734982
Propaganda channel this is!,propaganda channel this is,"{'neg': 0.4, 'neu': 0.6, 'pos': 0.0, 'compound': -0.25}",-0.25,Negative,Negative,0.8097003,1,Negative,0.867093384,Negative,0.56677407
HMPV please show me isolation and purification ?,hmpv please show me isolation and purification,"{'neg': 0.27, 'neu': 0.5, 'pos': 0.23, 'compound': -0.1027}",-0.1027,Negative,Negative,0.7267796,1,Neutral,0.795439184,Positive,0.518517315
According to Bill Gates and the United Nations it's called Operation Catastrophic Contagion,according to bill gates and the united nations its called operation catastrophic contagion,"{'neg': 0.326, 'neu': 0.526, 'pos': 0.147, 'compound': -0.5267}",-0.5267,Negative,Negative,0.8198158,1,Neutral,0.499736696,Positive,0.54459101
HMPV = Hate's Most Political Vision,hmpv hates most political vision,"{'neg': 0.355, 'neu': 0.367, 'pos': 0.279, 'compound': -0.1585}",-0.1585,Negative,Negative,0.9388142,1,Negative,0.904441178,Negative,0.975688994
"The last plandemic cured the flu,let that fact sink in",the last plandemic cured the flulet that fact sink in,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.98497176,1,Neutral,0.740615249,Negative,0.939330757
We need Daneil Andrew back to lead the country thru this,we need daneil andrew back to lead the country thru this,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.9646585,1,Neutral,0.692529857,Negative,0.542562485
Trusting Indian sources now instead of real investigations ??,trusting indian sources now instead of real investigations,"{'neg': 0.0, 'neu': 0.722, 'pos': 0.278, 'compound': 0.4019}",0.4019,Positive,Positive,0.5852921,1,Negative,0.562045097,Negative,0.55459094
Man i get the feeling kim is trying to cause another pandemic instead of stopping it,man i get the feeling kim is trying to cause another pandemic instead of stopping it,"{'neg': 0.094, 'neu': 0.819, 'pos': 0.088, 'compound': -0.0258}",-0.0258,Neutral,Neutral,0.7867462,1,Negative,0.863803446,Negative,0.778777659
What is the secret with china ?,what is the secret with china,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.9638896,1,Neutral,0.5957672,Positive,0.542271435
It's because Trump got in office they did it on purpose,its because trump got in office they did it on purpose,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.95954907,1,Negative,0.720136285,Positive,0.68871671
Oh because Trump is elected right be virus comes out haha for to live them crooked Democrats and Bill Gates wants to see populate makes sense now,oh because trump is elected right be virus comes out haha for to live them crooked democrats and bill gates wants to see populate makes sense now,"{'neg': 0.0, 'neu': 0.897, 'pos': 0.103, 'compound': 0.4588}",0.4588,Positive,Neutral,0.52253383,0,Negative,0.503455698,Positive,0.752282023
Here we go again!  The economy must be in shits creek for another virus to arrive.   2 weeks to flatten the curve?,here we go again the economy must be in shits creek for another virus to arrive 2 weeks to flatten the curve,"{'neg': 0.129, 'neu': 0.871, 'pos': 0.0, 'compound': -0.4767}",-0.4767,Negative,Negative,0.7799576,1,Negative,0.892306268,Negative,0.872543812
lol try another scam,lol try another scam,"{'neg': 0.435, 'neu': 0.235, 'pos': 0.329, 'compound': -0.2263}",-0.2263,Negative,Negative,0.7632358,1,Negative,0.695379376,Positive,0.642638743
Here we go again .,here we go again,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.97943157,1,Negative,0.542321742,Positive,0.833614767
Is there any air left in China ?,is there any air left in china,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.99550515,1,Neutral,0.726730049,Negative,0.85105902
Here we go again. The BS to lock down the world again. Trump is back and here comes the virus crap again. Surely people are NOT stupid enough to fall for this.,here we go again the bs to lock down the world again trump is back and here comes the virus crap again surely people are not stupid enough to fall for this,"{'neg': 0.07, 'neu': 0.778, 'pos': 0.152, 'compound': 0.4724}",0.4724,Positive,Negative,0.7090133,0,Negative,0.940665841,Negative,0.931315243
Iâ€:trade_mark:m not complying!!,iâtrade_markm not complying,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.95635104,1,Negative,0.747332215,Negative,0.961507201
Oh here we go again ðŸ˜:registered:BIG PHARMA getting ready to make their millions again ðŸ˜:registered: Follow the money ðŸ¤‘ðŸ¤‘ðŸ’°ðŸ¤‘ðŸ’°ðŸ¤‘ðŸ’°,oh here we go again ðÿregisteredbig pharma getting ready to make their millions again ðÿregistered follow the money ðÿðÿðÿðÿðÿðÿðÿ,"{'neg': 0.0, 'neu': 0.878, 'pos': 0.122, 'compound': 0.3612}",0.3612,Positive,Positive,0.9205926,1,Negative,0.487912983,Positive,0.790797174
One hundred  thousand Chinese people have died from this virus. No time to waste time its all it got. Time not late.,one hundred thousand chinese people have died from this virus no time to waste time its all it got time not late,"{'neg': 0.312, 'neu': 0.688, 'pos': 0.0, 'compound': -0.8225}",-0.8225,Negative,Negative,0.8249858,1,Negative,0.893735707,Negative,0.706229508
 was 24hr caring for 5x covid D elderly ... i didnt catch it ... and they all got better - victory.,was 24hr caring for 5x covid d elderly i didnt catch it and they all got better victory,"{'neg': 0.0, 'neu': 0.724, 'pos': 0.276, 'compound': 0.7269}",0.7269,Positive,Positive,0.87135595,1,Neutral,0.502265096,Negative,0.735787988
AIDS is still rising ... but nothing is said about that,aids is still rising but nothing is said about that,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.98728687,1,Neutral,0.505688012,Negative,0.855102122
"Here we go, the press is winding us up again.........get lost we're not playing, heard all this before and it was all lies. 3 people in my office got c19 over xmas....ALL ARE BACK AT WORK after 2 wks. Same old same old from the media.",here we go the press is winding us up againget lost were not playing heard all this before and it was all lies 3 people in my office got c19 over xmasall are back at work after 2 wks same old same old from the media,"{'neg': 0.135, 'neu': 0.865, 'pos': 0.0, 'compound': -0.69}",-0.69,Negative,Negative,0.7891289,1,Negative,0.904467165,Negative,0.95500952
MUCH LIKE THE COMMON COLD!!!!!! WHERE EXACTLY DID THE COMMON COLD GO BTW...????,much like the common cold where exactly did the common cold go btw,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.3612}",0.3612,Positive,Positive,0.90538496,1,Neutral,0.708441794,Positive,0.616506875
"Hahahaha lockdowns more vaccines more society control, domt believe the hype its systematically being rolled out the new wave of covid but to control you again",hahahaha lockdowns more vaccines more society control domt believe the hype its systematically being rolled out the new wave of covid but to control you again,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.81208265,1,Negative,0.688660562,Positive,0.623820424
And yet the planes are still flying in and out of there i bet,and yet the planes are still flying in and out of there i bet,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.97826785,1,Neutral,0.594492495,Negative,0.684806645
28000 on avg die everyday in China. Never reported,28000 on avg die everyday in china never reported,"{'neg': 0.328, 'neu': 0.672, 'pos': 0.0, 'compound': -0.5994}",-0.5994,Negative,Negative,0.8622026,1,Negative,0.827461123,Negative,0.810393333
This anti-China pin up girl loves to hate China. India simply can't compete with China who has a stronger relationship with Russia militarily and economically. India is like Turkey ðŸ¦ƒ Ergadon Dinasoar.,this antichina pin up girl loves to hate china india simply cant compete with china who has a stronger relationship with russia militarily and economically india is like turkey ðÿƒ ergadon dinasoar,"{'neg': 0.091, 'neu': 0.691, 'pos': 0.217, 'compound': 0.6249}",0.6249,Positive,Positive,0.815954,1,Negative,0.842875063,Negative,0.872746408
Only problematic for the wacked,only problematic for the wacked,"{'neg': 0.42, 'neu': 0.58, 'pos': 0.0, 'compound': -0.4404}",-0.4404,Negative,Neutral,0.94357103,0,Negative,0.789155304,Negative,0.943282247
Like a cold then.,like a cold then,"{'neg': 0.0, 'neu': 0.545, 'pos': 0.455, 'compound': 0.3612}",0.3612,Positive,Positive,0.8034446,1,Neutral,0.649092019,Negative,0.904477596
 hate say this but is the same b.s all over again,hate say this but is the same bs all over again,"{'neg': 0.19, 'neu': 0.81, 'pos': 0.0, 'compound': -0.3291}",-0.3291,Negative,Negative,0.9170238,1,Negative,0.94075489,Negative,0.936541915
"AND MY COUNTRY IS SILENT, AUSTRALIA.  WHAT ABSOLUTE TOSSERS. thank you India .",and my country is silent australia what absolute tossers thank you india,"{'neg': 0.0, 'neu': 0.815, 'pos': 0.185, 'compound': 0.3612}",0.3612,Positive,Positive,0.8244867,1,Negative,0.92385447,Positive,0.93750751
that truth... world darkness...,that truth world darkness,"{'neg': 0.317, 'neu': 0.317, 'pos': 0.365, 'compound': 0.0772}",0.0772,Positive,Positive,0.8888205,1,Negative,0.701734126,Positive,0.839671016
Mutations covid 19 and hmpv,mutations covid 19 and hmpv,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.97974145,1,Neutral,0.786052525,Negative,0.93081522
The music in this video was chosen to create anxietyâ€¦ This video is an obvious attempt at â€˜fear-mongeringâ€:trade_mark:. Shameful.,the music in this video was chosen to create anxietyâ this video is an obvious attempt at âfearmongeringâtrade_mark shameful,"{'neg': 0.143, 'neu': 0.762, 'pos': 0.094, 'compound': -0.2732}",-0.2732,Negative,Negative,0.49346384,1,Negative,0.930224478,Negative,0.945333302
"Bunch of BS, people !  It's just another cold.",bunch of bs people its just another cold,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.94991267,1,Negative,0.936125457,Negative,0.914510369
Covid 2 ðŸ˜­,covid 2 ðÿ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.9793873,1,Neutral,0.824816465,Positive,0.673200786
Brotha u just got into uni,brotha u just got into uni,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.99152184,1,Neutral,0.799544454,Positive,0.702557921
